Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_reverse_learning_init_population.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.35
	Standard Deviation = 0.9526279441628828
Average Performance = 74.03495440729483%
Runtime:
	Average = 10.978399238586427
	Total = 1097.8399238586426
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
31.  ID = 1,821,140 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7188, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
32.  ID = 1,823,388 , Fitness = 1.0000    (Iteration: 1000), Runtime = 12.5366, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
33.  ID = 1,831,701 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.3795, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
34.  ID = 1,905,338 , Fitness = 2.0000    (Iteration: 1000), Runtime = 13.8523, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
35.  ID = 1,925,806 , Fitness = 2.0000    (Iteration: 1000), Runtime = 13.7380, Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
36.  ID = 1,945,389 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0159 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
37.  ID = 1,945,835 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.7029, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
38.  ID = 1,966,415 , Fitness = 1.0000    (Iteration: 1000), Runtime = 11.9072, Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
39.  ID = 10,016,966, Fitness = 0.0000    (Iteration:   32), Runtime = 0.3922 , Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
40.  ID = 10,021,279, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.7968, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
41.  ID = 10,043,693, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.6384, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
42.  ID = 10,068,202, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0159 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
